location,date_time,temperature,precipitation,wind_speed
Nicosia,2025-02-28 17:00:00,11.1,0.0,0.6
Nicosia,2025-02-28 18:00:00,10.1,0.0,0.2
Nicosia,2025-02-28 19:00:00,9.8,0.0,0.4
Nicosia,2025-02-28 20:00:00,9.4,0.0,0.6
Nicosia,2025-02-28 21:00:00,9.0,0.0,0.8
Nicosia,2025-02-28 22:00:00,8.5,0.0,0.9
Nicosia,2025-02-28 23:00:00,8.1,0.0,1.1
Nicosia,2025-03-01 00:00:00,7.7,0.0,1.3
Nicosia,2025-03-01 01:00:00,7.6,0.0,1.5
Nicosia,2025-03-01 02:00:00,7.6,0.0,1.6
Nicosia,2025-03-01 03:00:00,7.5,0.0,1.8
Nicosia,2025-03-01 04:00:00,8.7,0.0,1.8
Nicosia,2025-03-01 05:00:00,9.8,0.0,1.8
Nicosia,2025-03-01 06:00:00,10.9,0.0,1.8
Nicosia,2025-03-01 07:00:00,12.9,0.0,1.7
Nicosia,2025-03-01 08:00:00,14.8,0.0,1.6
Nicosia,2025-03-01 09:00:00,16.8,0.0,1.4
Nicosia,2025-03-01 10:00:00,17.2,0.0,1.6
Nicosia,2025-03-01 11:00:00,17.6,0.0,1.9
Nicosia,2025-03-01 12:00:00,18.1,0.0,2.1
Nicosia,2025-03-01 13:00:00,17.3,0.0,2.0
Nicosia,2025-03-01 14:00:00,16.5,0.0,1.8
Nicosia,2025-03-01 15:00:00,15.7,0.0,1.7
Nicosia,2025-03-01 16:00:00,14.4,0.0,1.4
Nicosia,2025-03-01 17:00:00,13.1,0.0,1.1
Nicosia,2025-03-01 18:00:00,11.8,0.0,0.8
Nicosia,2025-03-01 19:00:00,11.3,0.0,1.1
Nicosia,2025-03-01 20:00:00,10.9,0.0,1.4
Nicosia,2025-03-01 21:00:00,10.4,0.0,1.7
Nicosia,2025-03-01 22:00:00,10.2,0.0,1.9
Nicosia,2025-03-01 23:00:00,10.0,0.0,2.0
Nicosia,2025-03-02 00:00:00,9.9,0.0,2.1
Nicosia,2025-03-02 01:00:00,9.5,0.0,2.0
Nicosia,2025-03-02 02:00:00,9.2,0.0,1.9
Nicosia,2025-03-02 03:00:00,8.8,0.0,1.7
Nicosia,2025-03-02 04:00:00,10.0,0.0,1.7
Nicosia,2025-03-02 05:00:00,11.3,0.0,1.7
Nicosia,2025-03-02 06:00:00,12.5,0.0,1.7
Nicosia,2025-03-02 07:00:00,14.4,0.0,1.5
Nicosia,2025-03-02 08:00:00,16.3,0.0,1.2
Nicosia,2025-03-02 09:00:00,18.3,0.0,1.0
Nicosia,2025-03-02 10:00:00,18.6,0.0,1.2
Nicosia,2025-03-02 11:00:00,18.9,0.0,1.4
Nicosia,2025-03-02 12:00:00,19.1,0.0,1.7
Nicosia,2025-03-02 13:00:00,18.1,0.16,1.8
Nicosia,2025-03-02 14:00:00,17.0,0.16,1.9
Nicosia,2025-03-02 15:00:00,15.9,0.16,2.1
Nicosia,2025-03-02 16:00:00,14.8,0.0,1.5
Nicosia,2025-03-02 17:00:00,13.7,0.0,1.0
Nicosia,2025-03-02 18:00:00,12.7,0.0,0.4
Nicosia,2025-03-02 19:00:00,12.1,0.0,0.3
Nicosia,2025-03-02 20:00:00,11.6,0.0,0.2
Nicosia,2025-03-02 21:00:00,11.1,0.0,0.1
Nicosia,2025-03-02 22:00:00,10.7,0.0,0.2
Nicosia,2025-03-02 23:00:00,10.3,0.0,0.4
Nicosia,2025-03-03 00:00:00,10.0,0.0,0.6
Nicosia,2025-03-03 01:00:00,9.6,0.0,0.6
Nicosia,2025-03-03 02:00:00,9.2,0.0,0.5
Nicosia,2025-03-03 03:00:00,8.8,0.0,0.5
Nicosia,2025-03-03 04:00:00,10.0,0.0,0.4
Nicosia,2025-03-03 05:00:00,11.1,0.0,0.3
Nicosia,2025-03-03 06:00:00,12.1,0.0,0.2
Nicosia,2025-03-03 07:00:00,14.2,0.0,1.0
Nicosia,2025-03-03 08:00:00,16.2,0.0,1.8
Nicosia,2025-03-03 09:00:00,18.2,0.0,2.6
Nicosia,2025-03-03 10:00:00,18.8,0.0,2.7
Nicosia,2025-03-03 11:00:00,19.3,0.0,2.8
Nicosia,2025-03-03 12:00:00,19.8,0.0,2.8
Nicosia,2025-03-03 13:00:00,18.5,0.0,2.5
Nicosia,2025-03-03 14:00:00,17.3,0.0,2.2
Nicosia,2025-03-03 15:00:00,16.0,0.0,1.9
Nicosia,2025-03-03 16:00:00,14.8,0.0,1.6
Nicosia,2025-03-03 17:00:00,13.5,0.0,1.3
Nicosia,2025-03-03 18:00:00,12.3,0.0,1.0
Nicosia,2025-03-03 19:00:00,12.2,0.0,1.2
Nicosia,2025-03-03 20:00:00,12.2,0.0,1.3
Nicosia,2025-03-03 21:00:00,12.1,0.0,1.4
Nicosia,2025-03-03 22:00:00,12.1,0.0,1.6
Nicosia,2025-03-03 23:00:00,12.0,0.0,1.7
Athens,2025-02-25 00:00:00,8.8,0.0,0.9
Athens,2025-02-25 01:00:00,9.1,0.0,0.9
Athens,2025-02-25 02:00:00,8.8,0.0,0.7
Athens,2025-02-25 03:00:00,8.6,0.0,0.9
